CODDPT;CODCAN;CODSUBCOM;CODBURVOT;NBRINS;NBREXP;%ABS/INS;%BLCNUL/VOT;%EXP/VOT;BC-DLF;BC-DVD;BC-DVG;BC-FG;BC-FN;BC-SOC;BC-UC;BC-UD;BC-UDI;BC-UG;BC-UMP
18;1;11;0001;841;430;0.47443519619500596;0.027149321266968326;0.9728506787330317;0.0;0.0;0.0;0.06511627906976744;0.2534883720930233;0.10930232558139535;0.0;0.5720930232558139;0.0;0.0;0.0
18;1;11;0002;933;492;0.45980707395498394;0.023809523809523808;0.9761904761904762;0.0;0.0;0.0;0.07317073170731707;0.2682926829268293;0.10365853658536585;0.0;0.5548780487804879;0.0;0.0;0.0
18;1;15;0001;835;386;0.5173652694610779;0.04218362282878412;0.9578163771712159;0.0;0.0;0.0;0.09585492227979274;0.2927461139896373;0.10103626943005181;0.0;0.5103626943005182;0.0;0.0;0.0
18;1;15;0002;846;428;0.47044917257683216;0.044642857142857144;0.9553571428571429;0.0;0.0;0.0;0.1191588785046729;0.3107476635514019;0.08411214953271028;0.0;0.48598130841121495;0.0;0.0;0.0
18;1;15;0003;929;556;0.3756727664155005;0.041379310344827586;0.9586206896551724;0.0;0.0;0.0;0.1474820143884892;0.24640287769784172;0.10971223021582734;0.0;0.49640287769784175;0.0;0.0;0.0
18;1;15;0004;849;445;0.45111896348645464;0.045064377682403435;0.9549356223175965;0.0;0.0;0.0;0.1101123595505618;0.24269662921348314;0.09662921348314607;0.0;0.550561797752809;0.0;0.0;0.0
18;1;15;0005;767;388;0.45632333767926986;0.06954436450839328;0.9304556354916067;0.0;0.0;0.0;0.14948453608247422;0.2860824742268041;0.1056701030927835;0.0;0.4587628865979381;0.0;0.0;0.0
18;1;30;0001;944;463;0.475635593220339;0.06464646464646465;0.9353535353535354;0.0;0.0;0.0;0.08639308855291576;0.3801295896328294;0.14254859611231102;0.0;0.39092872570194387;0.0;0.0;0.0
18;1;37;0001;896;441;0.47879464285714285;0.055674518201284794;0.9443254817987152;0.0;0.0;0.0;0.05895691609977324;0.30158730158730157;0.10657596371882086;0.0;0.5328798185941043;0.0;0.0;0.0
18;1;47;0001;500;271;0.412;0.0782312925170068;0.9217687074829932;0.0;0.0;0.0;0.12177121771217712;0.33579335793357934;0.1033210332103321;0.0;0.43911439114391143;0.0;0.0;0.0
