Code du département;Code du canton;Inscrits;Exprimés;% Abs/Ins;%BLCNUL/VOT;% Exp/Vot;BC-COM;BC-DIV;BC-DLF;BC-DVD;BC-DVG;BC-EXD;BC-EXG;BC-FG;BC-FN;BC-MDM;BC-PG;BC-RDG;BC-SOC;BC-UC;BC-UD;BC-UDI;BC-UG;BC-UMP;BC-VEC
1;22;22925;10764;51.44;0.0331447049312853;96.69;0.0381828316610925;0.0242474916387959;0.0;0.0181159420289855;0.0;0.0;0.0;0.0;0.3447603121516165;0.0;0.0;0.0;0.0;0.0;0.2973801560758082;0.0;0.2193422519509476;0.0;0.0579710144927536
1;23;16099;8047;47.79;0.0427075898167975;95.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2994904933515596;0.0;0.0;0.0;0.0;0.0;0.3007331924940972;0.0;0.3997763141543432;0.0;0.0
2;1;15417;8026;44.87;0.0557647058823529;94.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.425242960378769;0.0;0.0;0.0;0.0;0.0;0.1887615250436082;0.0;0.3859955145776227;0.0;0.0
2;2;18391;8505;51.48;0.0469520394441954;95.3;0.0;0.0;0.0;0.0;0.0907701352145796;0.0;0.0383303938859494;0.0;0.3562610229276896;0.0;0.0;0.0;0.0;0.0;0.1870664315108759;0.0;0.3275720164609053;0.0;0.0
2;3;17637;8714;48.93;0.032530254246697;96.75;0.0;0.0;0.0;0.142070231810879;0.0;0.0;0.0;0.0;0.3877668120266238;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4701629561624971;0.0;0.0
2;4;19996;10207;46.7;0.0422257671014356;95.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3971784069756049;0.0;0.0;0.0;0.0;0.0;0.2504163809150583;0.0;0.2560987557558538;0.0;0.0963064563534829
2;5;20006;10729;44.25;0.0381029227183073;96.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4087985832789635;0.0;0.0;0.0;0.0;0.0;0.0;0.2190325286606393;0.1242427066828222;0.2479261813775748;0.0
2;6;18207;9685;44.36;0.044023294837627;95.6;0.0499741868869385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.376871450696954;0.0;0.0;0.0;0.0;0.0;0.3145069695405266;0.0;0.2586473928755808;0.0;0.0
2;7;16941;8912;44.45;0.0530230581234725;94.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4405296229802513;0.0;0.0;0.0;0.292302513464991;0.0;0.2671678635547576;0.0;0.0;0.0;0.0
2;8;15687;7698;48.33;0.0503330866025166;94.97;0.0;0.0;0.0;0.0948298259288126;0.0;0.0;0.0;0.0;0.37905949597298;0.0;0.0;0.0;0.0;0.0;0.2097947518836061;0.0;0.3163159262146012;0.0;0.0
2;9;17058;8853;45.56;0.0466293344820159;95.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0686772845363153;0.3418050378402801;0.0;0.0;0.0;0.0;0.0;0.2322376595504348;0.0;0.3572800180729696;0.0;0.0
2;10;16858;8453;47.98;0.036036036036036;96.4;0.0677865846445049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2966993966639063;0.0;0.0;0.0;0.0;0.0;0.0;0.1483496983319531;0.2906660357269608;0.1964982846326748;0.0
2;11;14623;8740;37.15;0.0489662676822633;95.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3175057208237986;0.0;0.0;0.0;0.0;0.0;0.3762013729977116;0.0;0.3062929061784897;0.0;0.0
2;12;19901;11039;41.94;0.0445733079453003;95.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3900715644533019;0.0;0.0;0.0;0.0;0.0;0.2559108614910771;0.0;0.3540175740556209;0.0;0.0
2;13;19066;9394;47.6;0.0597537784005605;94.02;0.0605705769640195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3682137534596551;0.0;0.0;0.0;0.1733021077283372;0.0;0.3979135618479881;0.0;0.0;0.0;0.0
2;14;15584;7402;48.91;0.0703340869128359;92.97;0.1690083761145636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.381113212645231;0.0;0.0;0.0;0.0;0.0;0.4498784112402053;0.0;0.0;0.0;0.0
2;15;18792;9055;49.16;0.0522294326983462;94.78;0.0541137493097736;0.0;0.0;0.0;0.0;0.0;0.0;0.0659304251794588;0.3900607399226946;0.0;0.0;0.0;0.1990060739922694;0.0;0.2908890115958034;0.0;0.0;0.0;0.0
2;16;15972;7571;50.53;0.0418881295874462;95.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.421212521463479;0.0;0.0;0.0;0.0;0.0;0.2897899881125346;0.0;0.2889974904239862;0.0;0.0
2;17;18092;8303;51.63;0.0513025594149908;94.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3735999036492834;0.0;0.0;0.0;0.0;0.0;0.3456581958328315;0.0;0.2807419005178851;0.0;0.0
2;18;21135;9927;51.13;0.0389195469067673;96.11;0.0;0.0;0.0;0.0;0.2034854437392968;0.0;0.0;0.0;0.3744333635539438;0.0;0.0;0.0;0.0;0.0;0.1514052583862194;0.0;0.2706759343205399;0.0;0.0
2;19;16354;8823;43.7;0.0417073965461062;95.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0460160942989912;0.3046582794967698;0.0;0.0;0.0;0.0;0.0;0.0;0.2522951377082625;0.1467754731950583;0.250255015300918;0.0
2;20;15597;7871;44.27;0.0944546709618039;90.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5380510735611739;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.461948926438826;0.0;0.0
2;21;21582;11060;46.43;0.0433353516131822;95.67;0.0;0.0;0.0;0.0;0.1474683544303797;0.0;0.0;0.0;0.448010849909584;0.0;0.0;0.0;0.0;0.0;0.0;0.1743218806509945;0.0;0.2301989150090416;0.0
3;1;13524;7095;44.56;0.0537476660442784;94.63;0.0;0.0;0.0;0.0;0.1326286116983791;0.0;0.0;0.0;0.2646934460887949;0.0;0.0;0.0;0.1730796335447498;0.0;0.4295983086680761;0.0;0.0;0.0;0.0
3;2;13141;7602;39.73;0.0401515151515151;95.98;0.338726650881347;0.0;0.0;0.0;0.1216785056564062;0.0;0.0;0.0;0.2034990791896869;0.0;0.0;0.0;0.0;0.0;0.3360957642725598;0.0;0.0;0.0;0.0
3;3;13806;7376;44.0;0.0460424211070874;95.4;0.0;0.0;0.0;0.4265184381778741;0.0;0.0;0.0;0.220173535791757;0.193058568329718;0.0;0.0;0.0;0.1602494577006507;0.0;0.0;0.0;0.0;0.0;0.0
