CODDPT;CODCAN;CODSUBCOM;CODBURVOT;BC-FG;BC-FN;BC-SOC;BC-UD;BC-UDI;BC-UG
18;1;11;0001;0.0;0.2961165048543689;0.0;0.7038834951456311;0.0;0.0
18;1;11;0002;0.0;0.2968421052631579;0.0;0.7031578947368421;0.0;0.0
18;1;15;0001;0.0;0.33587786259541985;0.0;0.6641221374045801;0.0;0.0
18;1;15;0002;0.0;0.33414634146341465;0.0;0.6658536585365854;0.0;0.0
18;1;15;0003;0.0;0.294921875;0.0;0.705078125;0.0;0.0
18;1;15;0004;0.0;0.24776785714285715;0.0;0.7522321428571429;0.0;0.0
18;1;15;0005;0.0;0.3697916666666667;0.0;0.6302083333333334;0.0;0.0
18;1;30;0001;0.0;0.4117647058823529;0.0;0.5882352941176471;0.0;0.0
18;1;37;0001;0.0;0.3240343347639485;0.0;0.6759656652360515;0.0;0.0
18;1;47;0001;0.0;0.4037735849056604;0.0;0.5962264150943396;0.0;0.0
18;1;67;0001;0.0;0.4402730375426621;0.0;0.5597269624573379;0.0;0.0
18;1;88;0001;0.0;0.3888888888888889;0.0;0.6111111111111112;0.0;0.0
18;1;115;0001;0.0;0.39552238805970147;0.0;0.6044776119402985;0.0;0.0
18;1;147;0001;0.0;0.4205607476635514;0.0;0.5794392523364486;0.0;0.0
18;1;149;0001;0.0;0.34684684684684686;0.0;0.6531531531531531;0.0;0.0
18;1;159;0001;0.0;0.4;0.0;0.6;0.0;0.0
18;1;165;0001;0.0;0.45243619489559167;0.0;0.5475638051044084;0.0;0.0
18;1;170;0001;0.0;0.434375;0.0;0.565625;0.0;0.0
18;1;185;0001;0.0;0.59;0.0;0.41;0.0;0.0
18;1;227;0001;0.0;0.24545454545454545;0.0;0.7545454545454545;0.0;0.0
18;2;12;0001;0.0;0.41081081081081083;0.34054054054054056;0.24864864864864866;0.0;0.0
18;2;18;0001;0.0;0.36899862825788754;0.355281207133059;0.2757201646090535;0.0;0.0
18;2;23;0001;0.0;0.20991735537190082;0.33553719008264465;0.45454545454545453;0.0;0.0
18;2;25;0001;0.0;0.37407407407407406;0.45555555555555555;0.17037037037037037;0.0;0.0
18;2;27;0001;0.0;0.3295880149812734;0.4232209737827715;0.24719101123595505;0.0;0.0
18;2;49;0001;0.0;0.33195020746887965;0.3278008298755187;0.34024896265560167;0.0;0.0
18;2;53;0001;0.0;0.3464566929133858;0.33070866141732286;0.3228346456692913;0.0;0.0
18;2;56;0001;0.0;0.4083333333333333;0.39166666666666666;0.2;0.0;0.0
18;2;61;0001;0.0;0.15789473684210525;0.5263157894736842;0.3157894736842105;0.0;0.0
18;2;77;0001;0.0;0.2624113475177305;0.46099290780141844;0.2765957446808511;0.0;0.0
