Département;Code du Canton;Libellé du Canton;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Binôme_0;Nuance_0;Voix_0;%Voix/Exp_0;%Voix/Ins_0;Binôme_1;Nuance_1;Voix_1;%Voix/Exp_1;%Voix/Ins_1;Binôme_2;Nuance_2;Voix_2;%Voix/Exp_2;%Voix/Ins_2;Binôme_3;Nuance_3;Voix_3;%Voix/Exp_3;%Voix/Ins_3;Binôme_4;Nuance_4;Voix_4;%Voix/Exp_4;%Voix/Ins_4;Binôme_5;Nuance_5;Voix_5;%Voix/Exp_5;%Voix/Ins_5;Binôme_6;Nuance_6;Voix_6;%Voix/Exp_6;%Voix/Ins_6;Binôme_7;Nuance_7;Voix_7;%Voix/Exp_7;%Voix/Ins_7;Binôme_8;Nuance_8;Voix_8;%Voix/Exp_8;%Voix/Ins_8;Binôme_9;Nuance_9;Voix_9;%Voix/Exp_9;%Voix/Ins_9;Binôme_10;Nuance_10;Voix_10;%Voix/Exp_10;%Voix/Ins_10;Binôme_11;Nuance_11;Voix_11;%Voix/Exp_11;%Voix/Ins_11;Binôme_12;Nuance_12;Voix_12;%Voix/Exp_12;%Voix/Ins_12;Binôme_13;Nuance_13;Voix_13;%Voix/Exp_13;%Voix/Ins_13
53;6;Evron;16282;11341;4941;200;132;4609;M. Joël BALANDRAUD;BC-DVC;3041.0;65.98;18.68;Mme Marie-Aude AMIEL;BC-RN;790.0;17.14;4.85;Mme Mireille PERRIER;BC-FI;778.0;16.88;4.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;7;Gorron;13940;9521;4419;195;127;4097;M. Jean-Marc ALLAIN;BC-DVC;2158.0;52.67;15.48;M. Franck BARASCUD;BC-DVD;1424.0;34.76;10.22;M. Bruno DESMARECAUX;BC-RN;515.0;12.57;3.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;8;L'Huisserie;12267;8134;4133;189;76;3868;M. Christian BRIAND;BC-DVG;1872.0;48.4;15.26;Mme Nathalie ACKER;BC-DVC;1570.0;40.59;12.8;M. Bryan BENOIST;BC-RN;426.0;11.01;3.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;9;Lassay-les-Châteaux;13264;8981;4283;180;105;3998;Mme Magali D'ARGENTRÉ;BC-DVD;1693.0;42.35;12.76;M. Guillaume CARRÉ;BC-DIV;966.0;24.16;7.28;M. Frédéric BORDELET;BC-DVC;862.0;21.56;6.5;Mme Catherine CADENAS;BC-RN;477.0;11.93;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;10;Laval-1;12610;8263;4347;113;81;4153;M. Antoine CAPLAN;BC-UGE;2159.0;51.99;17.12;Mme Chantal GRANDIERE;BC-DVC;1566.0;37.71;12.42;Mme Maud CORDON;BC-RN;428.0;10.31;3.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;11;Laval-2;10571;6783;3788;85;71;3632;Mme Marie-Laure LE MEE CLAVREUL;BC-DVG;1712.0;47.14;16.2;M. Pierrick GUESNE;BC-DVD;1212.0;33.37;11.47;M. Vincent D'AGOSTINO;BC-DVC;387.0;10.66;3.66;M. Christophe BROSSEAU;BC-RN;321.0;8.84;3.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;12;Laval-3;7195;4916;2279;49;31;2199;M. Bruno BERTIER;BC-UG;1152.0;52.39;16.01;Mme Gwendoline GALOU;BC-DVC;785.0;35.7;10.91;Mme Christiane BALCON;BC-RN;262.0;11.91;3.64;Mme Christelle HUNAULT;BC-FI;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;13;Loiron-Ruillé;12622;8797;3825;117;83;3625;Mme Nicole BOUILLON;BC-DVD;1527.0;42.12;12.1;Mme Gabrielle GUÉRIN;BC-DIV;1244.0;34.32;9.86;M. Christophe FRICOT;BC-RN;521.0;14.37;4.13;Mme Marion DETAIS;BC-UG;333.0;9.19;2.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;14;Mayenne;13807;9254;4553;104;101;4348;M. Gérard BRODIN;BC-DVD;1890.0;43.47;13.69;Mme Stéphanie LEFOULON;BC-DVG;1885.0;43.35;13.65;Mme Marine CADENAS;BC-RN;573.0;13.18;4.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;15;Meslay-du-Maine;15030;10255;4775;198;91;4486;Mme Julie DUCOIN;BC-DVD;2345.0;52.27;15.6;Mme Céline BELLANGER;BC-DVG;1325.0;29.54;8.82;M. Jean-Michel CADENAS;BC-RN;816.0;18.19;5.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
