Département;Code du Canton;Libellé du Canton;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Binôme_0;Nuance_0;Voix_0;%Voix/Exp_0;%Voix/Ins_0;Binôme_1;Nuance_1;Voix_1;%Voix/Exp_1;%Voix/Ins_1;Binôme_2;Nuance_2;Voix_2;%Voix/Exp_2;%Voix/Ins_2;Binôme_3;Nuance_3;Voix_3;%Voix/Exp_3;%Voix/Ins_3;Binôme_4;Nuance_4;Voix_4;%Voix/Exp_4;%Voix/Ins_4;Binôme_5;Nuance_5;Voix_5;%Voix/Exp_5;%Voix/Ins_5;Binôme_6;Nuance_6;Voix_6;%Voix/Exp_6;%Voix/Ins_6;Binôme_7;Nuance_7;Voix_7;%Voix/Exp_7;%Voix/Ins_7;Binôme_8;Nuance_8;Voix_8;%Voix/Exp_8;%Voix/Ins_8;Binôme_9;Nuance_9;Voix_9;%Voix/Exp_9;%Voix/Ins_9;Binôme_10;Nuance_10;Voix_10;%Voix/Exp_10;%Voix/Ins_10;Binôme_11;Nuance_11;Voix_11;%Voix/Exp_11;%Voix/Ins_11;Binôme_12;Nuance_12;Voix_12;%Voix/Exp_12;%Voix/Ins_12;Binôme_13;Nuance_13;Voix_13;%Voix/Exp_13;%Voix/Ins_13
04;4;Digne-les-Bains-1;7505;4640;2865;121;67;2677;M. René MASSETTE;BC-SOC;1094.0;40.87;14.58;Mme Hélène RICHER;BC-UGE;679.0;25.36;9.05;M. Bruno ACCIAI;BC-DVC;494.0;18.45;6.58;Mme Joëlle LAUGIER;BC-LR;410.0;15.32;5.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04;5;Digne-les-Bains-2;8679;5449;3230;169;86;2975;M. Pierre CATILLON;BC-LR;776.0;26.08;8.94;Mme Emmanuelle MARTIN;BC-DVG;682.0;22.92;7.86;M. Gilles BREST;BC-UGE;636.0;21.38;7.33;Mme Martine BONNET;BC-UCD;578.0;19.43;6.66;M. Serge CAREL;BC-DVG;303.0;10.18;3.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04;6;Forcalquier;8938;4592;4346;149;92;4105;M. Michel DALMASSO;BC-LR;1679.0;40.9;18.78;M. Geoffroy GONZALEZ;BC-DVG;1379.0;33.59;15.43;M. Khaled BENFERHAT;BC-DVG;816.0;19.88;9.13;M. Bernard BOUDART;BC-SOC;231.0;5.63;2.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04;7;Manosque-1;8982;5861;3121;95;48;2978;M. Jacques BRES;BC-LR;1110.0;37.27;12.36;M. Christian GIRARD;BC-RN;860.0;28.88;9.57;M. Guillaume BERTOLINA;BC-COM;600.0;20.15;6.68;Mme Sylviane CHAUMONT-GORIUS;BC-DVC;408.0;13.7;4.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04;8;Manosque-2;7489;4558;2931;88;74;2769;M. Camille GALTIER;BC-LR;1138.0;41.1;15.2;M. Lionel FANTOVA;BC-SOC;616.0;22.25;8.23;M. Laurent GUIDON;BC-UGE;547.0;19.75;7.3;M. Laurent RAYMONDO;BC-DSV;273.0;9.86;3.65;Mme Dominique ALUNNO;BC-DVD;195.0;7.04;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04;9;Manosque-3;8487;5608;2879;122;56;2701;M. Jean-Claude CASTEL;BC-LR;1357.0;50.24;15.99;M. Sylvain MIRALLES;BC-COM;753.0;27.88;8.87;Mme Clotilde BERKI;BC-UCG;591.0;21.88;6.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04;10;Oraison;10481;7165;3316;119;81;3116;Mme Marie-Claude BRUSAT;BC-DVC;1055.0;33.86;10.07;M. Gérard PAUL;BC-UG;938.0;30.1;8.95;M. Noël CHUISANO;BC-DSV;566.0;18.16;5.4;Mme Carole BOUCLIER;BC-DVG;279.0;8.95;2.66;M. Gilles CARTIER;BC-DVD;278.0;8.92;2.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04;11;Reillanne;8805;4798;4007;137;96;3774;M. Alain CLAPIER;BC-COM;1448.0;38.37;16.45;Mme Michèle MOUTTE;BC-DVG;1245.0;32.99;14.14;M. Gerard BAUMEL;BC-LR;1081.0;28.64;12.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04;12;Riez;7671;4275;3396;124;36;3236;Mme Eliane BARREILLE;BC-LR;936.0;28.92;12.2;Mme Muriel DE VITA;BC-RN;817.0;25.25;10.65;M. Arnold ACHARD;BC-UG;814.0;25.15;10.61;M. Christophe DUBOIS;BC-DVG;669.0;20.67;8.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04;13;Seyne;7343;3918;3425;169;94;3162;Mme Evelyne FAURE;BC-DVG;1650.0;52.18;22.47;Mme Patricia ROLLAND;BC-DVD;813.0;25.71;11.07;Mme Isabelle DALBAN;BC-FI;699.0;22.11;9.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04;14;Sisteron;9752;5809;3943;165;91;3687;M. Robert Henri Louis GAY;BC-LR;1691.0;45.86;17.34;Mme Jocelyne FERAUD;BC-DVC;916.0;24.84;9.39;Mme Florence CHEILAN;BC-UGE;855.0;23.19;8.77;M. Jean-Bruno MERIC;BC-DVD;225.0;6.1;2.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04;15;Valensole;7354;4223;3131;67;39;3025;Mme Michèle COTTRET;BC-LR;1140.0;37.69;15.5;Mme Martine RAVIER;BC-RN;789.0;26.08;10.73;M. Philippe BEC;BC-SOC;562.0;18.58;7.64;M. Patrick GARNON;BC-ECO;534.0;17.65;7.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;1;L'Argentière-la-Bessée;5541;3125;2416;126;58;2232;M. Jean CONREAUX;BC-DVD;885.0;39.65;15.97;Mme Gaelle MOREAU;BC-UG;679.0;30.42;12.25;M. Serge GIORDANO;BC-DVD;668.0;29.93;12.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;2;Briançon-1;7604;4322;3282;110;55;3117;Mme Marine MICHEL;BC-UD;1730.0;55.5;22.75;M. Sébastien FINE;BC-DVC;803.0;25.76;10.56;Mme Capucine MOUNAL;BC-UGE;584.0;18.74;7.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;3;Briançon-2;8188;5025;3163;122;62;2979;Mme Claire BARNEOUD;BC-UCD;1367.0;45.89;16.7;M. Marcel CIUPPA;BC-DVG;891.0;29.91;10.88;M. Vincent FAUBERT;BC-DVG;721.0;24.2;8.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;4;Chorges;8837;5338;3499;452;297;2750;M. Joël BONNAFFOUX;BC-UG;2750.0;100.0;31.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;5;Embrun;9228;5396;3832;182;106;3544;Mme Carole CHAUVET;BC-UC;2096.0;59.14;22.71;Mme Annie BORGIA;BC-UC;1448.0;40.86;15.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;6;Gap-1;7066;4925;2141;93;76;1972;Mme Catherine ASSO;BC-DVD;859.0;43.56;12.16;Mme Isabelle DAVID;BC-UGE;518.0;26.27;7.33;M. Guy BLANC;BC-REM;428.0;21.7;6.06;Mme Madeleine FAUCHATRE;BC-DVG;167.0;8.47;2.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;7;Gap-2;7547;5112;2435;103;77;2255;M. Daniel GALLAND;BC-DVD;1117.0;49.53;14.8;Mme Aurélie ALLEMAND;BC-DVG;655.0;29.05;8.68;M. Bertrand HERISSON;BC-UG;483.0;21.42;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;8;Gap-3;7630;5232;2398;88;44;2266;M. Christian HUBAUD;BC-UD;1304.0;57.55;17.09;M. Elie CORDIER;BC-DVG;544.0;24.01;7.13;M. Antoine GUARDABASCIO;BC-UG;418.0;18.45;5.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;9;Gap-4;6816;4352;2464;112;57;2295;Mme Evelyne COLONNA;BC-DVD;1114.0;48.54;16.34;Mme Pimprenelle BUTZBACH;BC-UGE;602.0;26.23;8.83;M. Pierre-Yves LOMBARD;BC-DVG;321.0;13.99;4.71;Mme Bénédicte FEROTIN;BC-DVD;258.0;11.24;3.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;10;Guillestre;6932;3645;3287;246;93;2948;M. Marcel CANNAT;BC-DVD;2535.0;85.99;36.57;M. Luc BIANCHINI;BC-RN;413.0;14.01;5.96;M. Guillaume DEJY;BC-UG;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;11;Laragne-Montéglin;5876;3001;2875;115;63;2697;M. Gerard NICOLAS;BC-DIV;1083.0;40.16;18.43;M. Florent ARMAND;BC-DIV;926.0;34.33;15.76;Mme Patricia MORHET-RICHAUD;BC-DVD;688.0;25.51;11.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;12;Saint-Bonnet-en-Champsaur;9685;5150;4535;237;133;4165;Mme Béatrice ALLOSIA;BC-DVD;3027.0;72.68;31.25;M. Patrice LE PARC;BC-FI;1138.0;27.32;11.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;13;Serres;6588;2997;3591;141;106;3344;Mme Françoise PINET;BC-DVD;1640.0;49.04;24.89;Mme Anne-Marie GROS;BC-DVG;1103.0;32.98;16.74;M. Eric CHAPON;BC-ECO;601.0;17.97;9.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;14;Tallard;8345;4189;4156;176;104;3876;M. Jean-Baptiste AILLAUD;BC-DVD;2286.0;58.98;27.39;M. Rémy ODDOU;BC-DVG;1590.0;41.02;19.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05;15;Veynes;5634;2924;2710;82;63;2565;M. Jean-Marie BERNARD;BC-UCD;1112.0;43.35;19.74;Mme Sylvine GAUTHIER;BC-DVG;889.0;34.66;15.78;M. Georges ALLEMAND;BC-DIV;564.0;21.99;10.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;1;Antibes-1;25959;17473;8486;180;116;8190;M. Kevin LUCIANO;BC-UD;3000.0;36.63;11.56;Mme Dorette LANDERER;BC-RN;2162.0;26.4;8.33;M. Michel MANAGO;BC-DVD;1180.0;14.41;4.55;Mme Aline ABRAVANEL;BC-UC;741.0;9.05;2.85;M. Karim DELLA SUDDA;BC-UG;706.0;8.62;2.72;Mme Michèle BENEFICE;BC-DIV;401.0;4.9;1.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;2;Antibes-2;21594;14354;7240;246;37;6957;Mme Alexandra BORCHIO FONTIMP;BC-UD;2846.0;40.91;13.18;M. Cyril AUSSENAC;BC-RN;2104.0;30.24;9.74;Mme Khadija AOUAMI;BC-REM;1055.0;15.16;4.89;Mme Alexia BARTHELEMY;BC-UG;952.0;13.68;4.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;3;Antibes-3;25780;16783;8997;214;49;8734;M. Jean-Pierre DERMIT;BC-UD;3894.0;44.58;15.1;M. Dominique DERMY;BC-RN;2219.0;25.41;8.61;Mme Michèle MURATORE;BC-UG;1691.0;19.36;6.56;Mme Marie-Paule EPPLIN;BC-REM;930.0;10.65;3.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;4;Beausoleil;21737;14689;7048;152;106;6790;M. Xavier BECK;BC-UD;3721.0;54.8;17.12;Mme Sandrine MANFREDI-CAVALLERE;BC-RN;2256.0;33.23;10.38;M. Arnalde BRUCIAMACCHIE;BC-UG;813.0;11.97;3.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;5;Cagnes-sur-Mer-1;27626;18656;8970;178;114;8678;Mme Caroline ANDRE;BC-RN;3091.0;35.62;11.19;M. Roland CONSTANT;BC-UD;2472.0;28.49;8.95;M. Emile DE LA TORRE;BC-DVD;980.0;11.29;3.55;M. Cédric GAROYAN;BC-DVG;926.0;10.67;3.35;Mme Yaël CASBI;BC-ECO;902.0;10.39;3.27;M. Camille MORICONI;BC-DVD;307.0;3.54;1.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;6;Cagnes-sur-Mer-2;33594;21431;12163;705;133;11325;Mme Pierrette ALBERICI;BC-UD;6188.0;54.64;18.42;Mme Sandrine BELOT;BC-RN;4008.0;35.39;11.93;Mme Isabelle UTRAGO;BC-DVD;1129.0;9.97;3.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;7;Cannes-1;30014;21267;8747;188;107;8452;Mme Joëlle ARINI;BC-UD;4281.0;50.65;14.26;M. Franck GALBERT;BC-RN;2833.0;33.52;9.44;M. Dominique HENROT;BC-UGE;1132.0;13.39;3.77;Mme Nadia BOURGEOIS-CHEBAH;BC-DSV;206.0;2.44;0.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;8;Cannes-2;28551;18445;10106;73;75;9958;M. David LISNARD;BC-UD;7742.0;77.75;27.12;Mme Anne-Catherine COLIN CHAULEY;BC-RN;1560.0;15.67;5.46;M. Olivier BACONNET;BC-UGE;656.0;6.59;2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;9;Le Cannet;31855;21289;10566;369;54;10143;M. Didier CARRETERO;BC-UD;3569.0;35.19;11.2;Mme Elisabeth BIAS-TAOUSSON;BC-RN;3030.0;29.87;9.51;M. Jean-Jacques BREGEAUT;BC-DVG;1234.0;12.17;3.87;M. Mike CASTRO DEMARIA;BC-UC;1198.0;11.81;3.76;M. Didier CARDON;BC-DVD;1112.0;10.96;3.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;10;Contes;28708;16942;11766;205;182;11379;Mme Valérie TOMASINI;BC-COM;4669.0;41.03;16.26;Mme Céline DUQUESNE;BC-UD;3855.0;33.88;13.43;M. Alain CARDON;BC-RN;2855.0;25.09;9.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;11;Grasse-1;32872;21451;11421;193;119;11109;Mme Michèle OLIVIER;BC-UD;5366.0;48.3;16.32;M. Jean-Claude GEAY;BC-RN;2753.0;24.78;8.37;M. Laurent BOISSÉE;BC-UGE;2076.0;18.69;6.32;Mme Carine ICARD;BC-DIV;914.0;8.23;2.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;12;Grasse-2;29895;20348;9547;171;113;9263;Mme Marie-Louise GOURDON;BC-UGE;3292.0;35.54;11.01;Mme Liliane TOMAS;BC-RN;2156.0;23.28;7.21;M. Christophe CHALIER;BC-UD;1830.0;19.76;6.12;M. Jean-Paul CAMERANO;BC-UC;831.0;8.97;2.78;M. Frédéric FERRARE;BC-DIV;611.0;6.6;2.04;M. Philippe CHIAPELLI;BC-DVD;341.0;3.68;1.14;M. Gilles René GUILLEN;BC-DIV;202.0;2.18;0.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;13;Mandelieu-la-Napoule;32015;18758;13257;316;59;12882;M. David KONOPNICKI;BC-UD;7888.0;61.23;24.64;Mme Nathalie BARON;BC-RN;3170.0;24.61;9.9;M. Nicolas JARRY;BC-ECO;1123.0;8.72;3.51;M. Andre GAUCHER;BC-UG;701.0;5.44;2.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;14;Menton;32967;21975;10992;212;182;10598;M. Anthony MALVAULT;BC-RN;4361.0;41.15;13.23;Mme Gabrielle BINEAU;BC-UD;3963.0;37.39;12.02;M. Laurent LANQUAR-CASTIEL;BC-ECO;996.0;9.4;3.02;M. Frédéric PELLEGRINETTI;BC-UG;913.0;8.61;2.77;M. Arnaud ALBIN;BC-DVD;365.0;3.44;1.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;15;Nice-1;25403;17487;7916;162;150;7604;Mme Valerie SERGI;BC-UD;3355.0;44.12;13.21;M. Pierre ESCONDEUR;BC-RN;2313.0;30.42;9.11;Mme Mireille DAMIANO;BC-DVG;1503.0;19.77;5.92;Mme Alice BERNARD-MONTINI;BC-UC;433.0;5.69;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;16;Nice-2;31399;21482;9917;232;173;9512;M. Bernard ASSO;BC-UD;4081.0;42.9;13.0;M. Christophe DAUBENTON;BC-RN;3541.0;37.23;11.28;Mme Jacqueline DEVIER;BC-UGE;1890.0;19.87;6.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;17;Nice-3;26922;17904;9018;180;158;8680;M. Yannick BERNARD;BC-DVD;2869.0;33.05;10.66;Mme Jeanne CASALONGA;BC-RN;2300.0;26.5;8.54;Mme Emmanuelle BIHAR;BC-DIV;2027.0;23.35;7.53;Mme Anne ALUNNO;BC-UGE;1299.0;14.97;4.83;Mme Marie-Françoise BRASSELET;BC-DSV;185.0;2.13;0.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;18;Nice-4;30294;20587;9707;195;150;9362;Mme Caroline MIGLIORE;BC-UD;3784.0;40.42;12.49;M. Jean MOUCHEBOEUF;BC-RN;3462.0;36.98;11.43;M. Raphaël GALMICHE;BC-UGE;2116.0;22.6;6.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;19;Nice-5;28755;19801;8954;208;130;8616;M. Franck MARTIN;BC-UD;2968.0;34.45;10.32;M. Norbert MARQUEYROL;BC-RN;2666.0;30.94;9.27;Mme Françoise ASSUS-JUTTNER;BC-UGE;2132.0;24.74;7.41;Mme Tassadit DERRADJ;BC-UC;850.0;9.87;2.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;20;Nice-6;28495;18458;10037;242;161;9634;M. Jean-Pierre LAFITTE;BC-UD;3817.0;39.62;13.4;Mme Sandra MORISOT;BC-RN;3075.0;31.92;10.79;Mme Redija BOUKHALFA;BC-DVG;1719.0;17.84;6.03;Mme Marie COLOMB;BC-UC;1023.0;10.62;3.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;21;Nice-7;23139;16358;6781;178;136;6467;M. Jean Jacques CARLIN;BC-UD;2774.0;42.89;11.99;Mme Audrey BERTONE;BC-RN;2158.0;33.37;9.33;Mme Sophie BOURNOT POULET;BC-UGE;1262.0;19.51;5.45;Mme Chantal BEAUDET;BC-DIV;273.0;4.22;1.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;22;Nice-8;21395;14907;6488;199;134;6155;Mme Odile TIXIER DE GUBERNATIS;BC-RN;2355.0;38.26;11.01;M. Bernard CHAIX;BC-UD;2282.0;37.08;10.67;Mme Anne-Laure CHAINTRON;BC-UG;1252.0;20.34;5.85;Mme Fafa BOUAMAMA;BC-DIV;266.0;4.32;1.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;23;Nice-9;22671;14955;7716;210;158;7348;Mme Gaëlle FRONTONI;BC-UD;2782.0;37.86;12.27;Mme Virginie ACCHIARDO;BC-RN;2728.0;37.13;12.03;Mme Valérie AUGUSTE;BC-UGE;1838.0;25.01;8.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;24;Tourrette-Levens;31040;16890;14150;352;298;13500;M. Eric CIOTTI;BC-UD;8543.0;63.28;27.52;Mme Linda DALMASSO;BC-RN;2510.0;18.59;8.09;M. Michel CHEVALLIER;BC-UG;2447.0;18.13;7.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;25;Valbonne;27389;17775;9614;290;63;9261;Mme Vanessa LELLOUCHE;BC-UD;2762.0;29.82;10.08;Mme Anne-Marie AMEGLIO;BC-RN;2135.0;23.05;7.8;M. Gérard BOUTBOUL;BC-UC;1555.0;16.79;5.68;Mme Myriam COMANDUCCI-CASSARINI;BC-ECO;1539.0;16.62;5.62;M. Luc GANE;BC-UG;1270.0;13.71;4.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;26;Vence;30564;18394;12170;419;100;11651;M. Charles Ange GINESY;BC-UD;6957.0;59.71;22.76;Mme Iris BIONDO;BC-RN;2508.0;21.53;8.21;M. Jean-Louis FIORI;BC-DVG;2186.0;18.76;7.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;27;Villeneuve-Loubet;27270;17217;10053;600;81;9372;Mme Marie BENASSAYAG;BC-UD;4619.0;49.29;16.94;Mme Karin HARTMANN;BC-RN;2584.0;27.57;9.48;Mme Pascale DEHAENE;BC-UC;1670.0;17.82;6.12;Mme Marie-Line LE PAVIC;BC-DIV;499.0;5.32;1.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07;1;Annonay-1;14565;10196;4369;96;42;4231;Mme Martine OLLIVIER;BC-UD;1797.0;42.47;12.34;Mme Claire BAUD;BC-DVG;1101.0;26.02;7.56;M. Philippe BERARD;BC-RN;636.0;15.03;4.37;Mme Marie-Josèphe NUEL;BC-REM;381.0;9.0;2.62;M. Grégory CHANROND-PALISSE;BC-COM;316.0;7.47;2.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07;2;Annonay-2;12320;8257;4063;98;71;3894;Mme Claudie COSTE;BC-DVD;1534.0;39.39;12.45;Mme Stéphanie BARBATO-BARBE;BC-UG;1320.0;33.9;10.71;M. Jacques MERCIER;BC-RN;608.0;15.61;4.94;Mme Frédérique LAGIER;BC-UG;432.0;11.09;3.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07;3;Aubenas-1;12958;8454;4504;104;81;4319;Mme Cécile DUCHAMP;BC-UD;1684.0;38.99;13.0;Mme Claire HERLIC;BC-UGE;1102.0;25.52;8.5;M. Thierry ARSAC;BC-RN;715.0;16.55;5.52;M. Bernard CROS;BC-UG;536.0;12.41;4.14;M. Roger KAPPEL;BC-MDM;282.0;6.53;2.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07;4;Aubenas-2;15606;10167;5439;102;76;5261;Mme Sandrine GENEST;BC-DVD;1944.0;36.95;12.46;Mme Sabine BUIS;BC-UG;1646.0;31.29;10.55;Mme Magalie MALIGE;BC-RN;707.0;13.44;4.53;M. Éric ARNOU;BC-ECO;488.0;9.28;3.13;Mme Céline MESTRIES;BC-UG;476.0;9.05;3.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07;5;Bourg-Saint-Andéol;14327;9055;5272;103;63;5106;Mme Christine MALFOY;BC-DVG;2014.0;39.44;14.06;Mme Laetitia BAYLE;BC-DIV;1317.0;25.79;9.19;M. Olivier DUPUIS;BC-RN;1050.0;20.56;7.33;Mme Esmeralda AROZARENA;BC-COM;411.0;8.05;2.87;M. Patrick PETIT;BC-ECO;314.0;6.15;2.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07;6;Haut-Eyrieux;15480;9127;6353;216;102;6035;M. Jacques CHABAL;BC-DVD;2806.0;46.5;18.13;Mme Laetitia SERRE;BC-DVG;2729.0;45.22;17.63;Mme Chantal BATTAIN;BC-COM;500.0;8.29;3.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07;7;Guilherand-Granges;17010;10772;6238;92;89;6057;M. Olivier AMRANE;BC-UD;3172.0;52.37;18.65;Mme Caroline CAUBET-MICHELAS;BC-DVG;1464.0;24.17;8.61;M. Gérard EMBERGER;BC-RN;778.0;12.84;4.57;M. Marc DIBI;BC-ECO;643.0;10.62;3.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07;8;Haut-Vivarais;16907;9479;7428;167;99;7162;Mme Laetitia BOURJAT;BC-DVD;3598.0;50.24;21.28;M. Aurélien MOURIER;BC-DVG;2101.0;29.34;12.43;Mme Maryse LEGROS;BC-RN;774.0;10.81;4.58;Mme Catherine VIGOUROUX;BC-COM;689.0;9.62;4.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07;9;Le Pouzin;12460;8017;4443;129;52;4262;Mme Elvire BOSC;BC-UG;1597.0;37.47;12.82;Mme Rachel COTTA;BC-DVD;1164.0;27.31;9.34;M. Julien FOUGEIROL;BC-DVG;790.0;18.54;6.34;Mme Sylviane DERO;BC-RN;711.0;16.68;5.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07;10;Privas;15648;8906;6742;114;50;6578;Mme Sandrine CHAREYRE;BC-SOC;2798.0;42.54;17.88;M. Jérôme BERNARD;BC-UD;2380.0;36.18;15.21;Mme Barbara CLAVON;BC-COM;674.0;10.25;4.31;M. William MOURGAND;BC-RN;523.0;7.95;3.34;Mme Florence BANTIGNIE;BC-REM;203.0;3.09;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07;11;Sarras;11739;7580;4159;199;65;3895;M. Ronan PHILIPPE;BC-DVG;1953.0;50.14;16.64;Mme Stéphanie BENOIT;BC-DVG;1168.0;29.99;9.95;Mme Eliane BAUDRY;BC-RN;774.0;19.87;6.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
