Code du département;Libellé du département;Code du canton;Libellé du canton;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp
83;VAR;41;LA VALETTE-DU-VAR;19852;11291;56.88;8561;43.12;829;4.18;9.68;7732;38.95;90.32;M;MUSSO;Ange;UMP;4931;24.84;63.77;M;PONZEVERA;Jean-Pierre;FN;2801;14.11;36.23;;;;;;;
83;VAR;42;LA GARDE;27614;16131;58.42;11483;41.58;1480;5.36;12.89;10003;36.22;87.11;M;MASSON;Jean-Louis;UMP;6355;23.01;63.53;M;CHABLE;Pierre-Laurent;FN;3648;13.21;36.47;;;;;;;
83;VAR;43;HYÈRES-OUEST;19929;11450;57.45;8479;42.55;682;3.42;8.04;7797;39.12;91.96;M;PHILIP;Pierre;SOC;3656;18.35;46.89;M;POLITI;Jacques;DVD;4141;20.78;53.11;;;;;;;
84;VAUCLUSE;1;APT;15089;7291;48.32;7798;51.68;496;3.29;6.36;7302;48.39;93.64;M;BOYER;Pierre;SOC;4622;30.63;63.3;M;COJANNOT;Jean-Marie;FN;2680;17.76;36.7;;;;;;;
84;VAUCLUSE;3;AVIGNON-SUD;11446;6180;53.99;5266;46.01;394;3.44;7.48;4872;42.57;92.52;F;FOURNIER-ARMAND;Michèle;SOC;2890;25.25;59.32;M;ODDONE;Alain;FN;1982;17.32;40.68;;;;;;;
84;VAUCLUSE;5;BÉDARRIDES;26200;13225;50.48;12975;49.52;1022;3.9;7.88;11953;45.62;92.12;M;LAGNEAU;Thierry;UMP;6661;25.42;55.73;M;POULALIER;Alain;FN;5292;20.2;44.27;;;;;;;
84;VAUCLUSE;7;BONNIEUX;3731;1573;42.16;2158;57.84;145;3.89;6.72;2013;53.95;93.28;M;FLORENS;Olivier;VEC;1048;28.09;52.06;M;CASALIS;Jérôme;UMP;965;25.86;47.94;;;;;;;
84;VAUCLUSE;8;CADENET;14048;7549;53.74;6499;46.26;383;2.73;5.89;6116;43.54;94.11;M;TAMISIER;Michel;DVG;3456;24.6;56.51;M;VINCENTI;Sébastien;DVD;2660;18.94;43.49;;;;;;;
84;VAUCLUSE;9;CARPENTRAS-NORD;21003;10472;49.86;10531;50.14;654;3.11;6.21;9877;47.03;93.79;M;BAYET;Michel;SOC;4510;21.47;45.66;M;BASSOT;Patrick;FN;5367;25.55;54.34;;;;;;;
84;VAUCLUSE;13;L'ISLE-SUR-LA-SORGUE;30725;15033;48.93;15692;51.07;1160;3.78;7.39;14532;47.3;92.61;M;FUILLET;Michel;SOC;8254;26.86;56.8;M;CAVASINO;Emile;FN;6278;20.43;43.2;;;;;;;
84;VAUCLUSE;14;MALAUCÈNE;3948;1193;30.22;2755;69.78;141;3.57;5.12;2614;66.21;94.88;M;BERNARD;Xavier;DVG;1466;37.13;56.08;M;BODON;Dominique;UMP;1148;29.08;43.92;;;;;;;
84;VAUCLUSE;15;MORMOIRON;7679;3169;41.27;4510;58.73;231;3.01;5.12;4279;55.72;94.88;M;RASPAIL;Max;SOC;3092;40.27;72.26;F;ROZET;Violette;FN;1187;15.46;27.74;;;;;;;
84;VAUCLUSE;16;ORANGE-EST;20138;10626;52.77;9512;47.23;690;3.43;7.25;8822;43.81;92.75;F;THIBAUD;Marlène;SOC;3890;19.32;44.09;F;BOMPARD;Marie-Claude;EXD;4932;24.49;55.91;;;;;;;
84;VAUCLUSE;23;AVIGNON-EST;23120;12495;54.04;10625;45.96;645;2.79;6.07;9980;43.17;93.93;M;CASTELLI;André;COM;5689;24.61;57;M;RUAT;Paul;FN;4291;18.56;43;;;;;;;
