Code du département;Libellé du département;Code du canton;Libellé du canton;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp
1;AIN;24;PONCIN;4914;2267;46.13;2647;53.87;25;0.51;0.94;2622;53.36;99.06;M;VUAILLAT;Jacques;COM;93;1.89;3.55;M;BILLET;Jean Marie;DVG;290;5.9;11.06;M;CAGNAC;Jacques;VEC;358;7.29;13.65;M;CHABRY;Jean;AUT;779;15.85;29.71;M;GIROUX;Jean-Michel;UMP;623;12.68;23.76;M;BATAILLY;Christian;DVD;154;3.13;5.87;F;BAUDRAT;Annick;FN;325;6.61;12.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;25;PONT-D'AIN;9152;4991;54.53;4161;45.47;74;0.81;1.78;4087;44.66;98.22;F;FAVIER;Noëlle;COM;227;2.48;5.55;M;FONDRAZ;Serge;DVG;1389;15.18;33.99;M;MONGHAL;Frédéric;VEC;422;4.61;10.33;M;FERRY;André;DVD;1116;12.19;27.31;F;MICHAUD;Anne-Marie;FN;933;10.19;22.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;27;PONT-DE-VEYLE;8943;4588;51.3;4355;48.7;95;1.06;2.18;4260;47.64;97.82;M;THETE;Paul;COM;77;0.86;1.81;M;GREFFET;Christophe;SOC;1957;21.88;45.94;F;VICET;Michèle;VEC;306;3.42;7.18;M;CHAPPELON;Yves-Augustin;UMP;1236;13.82;29.01;M;CANCIAN;Gilles;FN;684;7.65;16.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;29;SAINT-TRIVIER-DE-COURTES;4219;2036;48.26;2183;51.74;28;0.66;1.28;2155;51.08;98.72;M;CHOSSAT;Gilbert;COM;82;1.94;3.81;M;PEISSON;Gilles;SOC;361;8.56;16.75;M;DUCAROY;Sylvestre;VEC;145;3.44;6.73;M;MOREL;Armel;DVD;1248;29.58;57.91;M;LINARI;Rudy;FN;319;7.56;14.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;31;SEYSSEL;4111;2261;55;1850;45;22;0.54;1.19;1828;44.47;98.81;M;PLANCHE;Alain;COM;68;1.65;3.72;M;BERARDI;Christophe;SOC;493;11.99;26.97;M;BACHELET;Yvon;DVG;129;3.14;7.06;M;COUX;Emmanuel;VEC;173;4.21;9.46;M;DESBOS;Michel;DVD;447;10.87;24.45;M;THIBOUD;Bernard;DVD;215;5.23;11.76;M;RISSE;Hervé;FN;303;7.37;16.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;32;THOISSEY;10187;6003;58.93;4184;41.07;82;0.8;1.96;4102;40.27;98.04;F;BLANCHET;Marinette;COM;112;1.1;2.73;M;PHILIPPON;André;DVG;1603;15.74;39.08;M;FORESTIER;Jean-Christian;UMP;820;8.05;19.99;M;DESCHIZEAUX;Jean Claude;DVD;647;6.35;15.77;F;PERRIN;Nadine;FN;920;9.03;22.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;34;TRÉVOUX;11852;7300;61.59;4552;38.41;64;0.54;1.41;4488;37.87;98.59;M;DESCOLLONGES;Daniel;COM;179;1.51;3.99;M;ROUSSET;Patrick;DVG;1597;13.47;35.58;F;SIVADE;Marie-Laure;VEC;538;4.54;11.99;M;PECHOUX;Marc;UMP;1144;9.65;25.49;M;ROBIN;Thierry;FN;1030;8.69;22.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;35;VILLARS-LES-DOMBES;6725;3811;56.67;2914;43.33;45;0.67;1.54;2869;42.66;98.46;M;NALLET;Albert;COM;73;1.09;2.54;M;FAVERJON;Georges;DVG;1133;16.85;39.49;F;COQUE;Bernadette;VEC;204;3.03;7.11;M;BERNIGAUD;Roland;M-NC;798;11.87;27.81;M;JOURDAN;Richard;FN;661;9.83;23.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;36;VIRIEU-LE-GRAND;3248;1394;42.92;1854;57.08;27;0.83;1.46;1827;56.25;98.54;M;MOISSET;Yves;COM;51;1.57;2.79;F;GUILLON;Pascale;DVG;449;13.82;24.58;F;GARNIER;Simone;DVG;317;9.76;17.35;M;MERIC;Jean-Claude;VEC;191;5.88;10.45;F;MICHALLET;Eliane;UMP;377;11.61;20.63;M;RAMON;Michel;DVD;149;4.59;8.16;M;BUISSON;Jérôme;FN;293;9.02;16.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;39;PÉRONNAS;9942;5650;56.83;4292;43.17;93;0.94;2.17;4199;42.23;97.83;M;BLATRIX;Daniel;COM;147;1.48;3.5;M;QUIVET;Bernard;SOC;1395;14.03;33.22;M;ROUX;Jean-Luc;VEC;415;4.17;9.88;M;CHANEL;Christian;DVD;2055;20.67;48.94;M;BERODIER;Arnaud;DVD;187;1.88;4.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;40;MIRIBEL;14225;8783;61.74;5442;38.26;64;0.45;1.18;5378;37.81;98.82;M;CORGIER;Guy;COM;225;1.58;4.18;M;GOUBET;Pierre;DVG;1921;13.5;35.72;M;NOUVELOT;Bertrand;VEC;656;4.61;12.2;F;TERRIER;Caroline;UMP;1460;10.26;27.15;M;BOUCHARD;Patrick;FN;1116;7.85;20.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;43;VIRIAT;12216;6156;50.39;6060;49.61;84;0.69;1.39;5976;48.92;98.61;M;TESORIELLI;Olivier;PG;235;1.92;3.93;M;NALLET;Jacques;DVG;2407;19.7;40.28;M;PERRET;Bernard;DVD;2617;21.42;43.79;M;CHEVREL;Anthony;FN;717;5.87;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
