;Département;Code du Canton;Libellé du Canton;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Binôme;Nuance;Voix;%Voix/Exp
6052;79;10;Niort-1;13111;8857;4254;47;59;4148;M. Romain DUPEYROU;BC-DVC;1822;43.92
6053;79;10;Niort-1;13111;8857;4254;47;59;4148;M. Hermann CADIOU;BC-UGE;1232;29.7
6054;79;10;Niort-1;13111;8857;4254;47;59;4148;M. Abdelghani AMMARI;BC-UG;477;11.5
6055;79;10;Niort-1;13111;8857;4254;47;59;4148;Mme Sandrine BAILLY;BC-UC;338;8.15
6056;79;10;Niort-1;13111;8857;4254;47;59;4148;Mme Christine DEBONNAIRE;BC-RN;279;6.73
6057;79;11;Niort-2;12745;8800;3945;82;63;3800;Mme Sophie BOUTRIT;BC-DVG;1330;35.0
6058;79;11;Niort-2;12745;8800;3945;82;63;3800;M. Bernard PENICAUD;BC-UG;1024;26.95
6059;79;11;Niort-2;12745;8800;3945;82;63;3800;M. Francis LEBARBIER;BC-UGE;792;20.84
6060;79;11;Niort-2;12745;8800;3945;82;63;3800;Mme Patricia BIZARD;BC-REM;352;9.26
6061;79;11;Niort-2;12745;8800;3945;82;63;3800;Mme Anne-Marie ANDRE;BC-RN;302;7.95
6062;79;12;Niort-3;12890;8954;3936;95;47;3794;Mme Christine HYPEAU;BC-UCD;1513;39.88
6063;79;12;Niort-3;12890;8954;3936;95;47;3794;M. Geoffroy MICHEL;BC-UGE;1039;27.39
6064;79;12;Niort-3;12890;8954;3936;95;47;3794;M. Jean-Romée CHARBONNEAU;BC-RN;454;11.97
6065;79;12;Niort-3;12890;8954;3936;95;47;3794;Mme Marie-Odile BRAULT;BC-REM;414;10.91
6066;79;12;Niort-3;12890;8954;3936;95;47;3794;M. Pierre FOUGEREAU;BC-DVG;374;9.86
6067;79;13;Parthenay;15501;10274;5227;125;118;4984;M. Gilbert FAVREAU;BC-UCD;2254;45.22
6068;79;13;Parthenay;15501;10274;5227;125;118;4984;M. Benoît PIRON;BC-DVG;1101;22.09
6069;79;13;Parthenay;15501;10274;5227;125;118;4984;Mme Jocelyne BÉNARD;BC-UGE;915;18.36
6070;79;13;Parthenay;15501;10274;5227;125;118;4984;M. Michel FIEVET;BC-RN;714;14.33
6071;79;14;La Plaine Niortaise;19653;13450;6203;216;150;5837;M. Thierry DEVAUTOUR;BC-UCD;2585;44.29
6072;79;14;La Plaine Niortaise;19653;13450;6203;216;150;5837;Mme Anne FRANÇOIS;BC-UG;1266;21.69
6073;79;14;La Plaine Niortaise;19653;13450;6203;216;150;5837;M. Yohan AUBERT;BC-REM;1038;17.78
6074;79;14;La Plaine Niortaise;19653;13450;6203;216;150;5837;Mme Nadège LE BARON;BC-UGE;948;16.24
6075;79;15;Saint-Maixent-l'Ecole;18054;12340;5714;182;97;5435;Mme Catherine PELAUD;BC-ECO;1585;29.16
6076;79;15;Saint-Maixent-l'Ecole;18054;12340;5714;182;97;5435;M. Thomas BRAUD;BC-UCD;1118;20.57
6077;79;15;Saint-Maixent-l'Ecole;18054;12340;5714;182;97;5435;M. Stephane SAINTY;BC-RN;1095;20.15
6078;79;15;Saint-Maixent-l'Ecole;18054;12340;5714;182;97;5435;Mme Eva GILIBERT;BC-UGE;915;16.84
